,image,ref_roi
0,/home/ipilab/simplemind-applications/fundus_quick_start/images/image59.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image59avg_ann.pngout_0000.nii.gz
1,/home/ipilab/simplemind-applications/fundus_quick_start/images/image61.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image61avg_ann.pngout_0000.nii.gz
2,/home/ipilab/simplemind-applications/fundus_quick_start/images/image31.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image31avg_ann.pngout_0000.nii.gz
3,/home/ipilab/simplemind-applications/fundus_quick_start/images/image78.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image78avg_ann.pngout_0000.nii.gz
4,/home/ipilab/simplemind-applications/fundus_quick_start/images/image17.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image17avg_ann.pngout_0000.nii.gz
5,/home/ipilab/simplemind-applications/fundus_quick_start/images/image36.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image36avg_ann.pngout_0000.nii.gz
6,/home/ipilab/simplemind-applications/fundus_quick_start/images/image54.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image54avg_ann.pngout_0000.nii.gz
7,/home/ipilab/simplemind-applications/fundus_quick_start/images/image2.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image2avg_ann.pngout_0000.nii.gz
8,/home/ipilab/simplemind-applications/fundus_quick_start/images/image72.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image72avg_ann.pngout_0000.nii.gz
9,/home/ipilab/simplemind-applications/fundus_quick_start/images/image65.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image65avg_ann.pngout_0000.nii.gz
