,id,dataset,image_file,reference
0,image66,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image66.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
1,image22,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image22.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
2,image14,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image14.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
3,image26,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image26.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
4,image43,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image43.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
5,image29,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image29.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
6,image60,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image60.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
7,image20,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image20.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
8,image8,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image8.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
9,image81,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image81.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
10,image21,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image21.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
11,image55,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image55.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
12,image49,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image49.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
13,image57,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image57.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
14,image1,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image1.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
15,image40,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image40.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
16,image74,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image74.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
17,image34,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image34.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
18,image6,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image6.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
19,image32,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image32.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
20,image4,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image4.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
21,image35,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image35.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
22,image67,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image67.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
23,image79,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image79.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
24,image23,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image23.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
25,image46,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image46.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
26,image52,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image52.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
27,image7,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image7.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
28,image38,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image38.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
29,image19,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image19.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
30,image16,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image16.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
31,image3,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image3.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
32,image71,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image71.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
33,image18,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image18.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
34,image47,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image47.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
35,image68,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image68.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
36,image13,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image13.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
37,image24,fundus,/home/ipilab/simplemind-applications/fundus_quick_start/images/image24.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels
